path,sentence,,,,,
SP01-OTR002-01-AB-0001.wav,གངས་རིན་པོ་ཆེ་ནས་རྒྱལ་ཁམས་འགྲིམ་ཏེ་ཕེབས་མཁན་དགེ་འདུན་པ་ཞིག་འཕྲད་པ་དང་།,,,,,
SP01-OTR002-01-AB-0002.wav,དེ་བཞིན་གནས་རིའི་ལྷོ་ངོས་ཀྱི་གླེ་མིའི་བོད་མི་དང་བཙན་བྱོལ་གྱི་ཆོས་ཕྱོགས་ཀྱི་དབུ་ཁྲིད།,,,,,
SP01-OTR002-01-AB-0003.wav,གླེ་མི་དང་འབྲེལ་ཡོད་ཀྱི་རྒྱ་བལ་ས་མཚམས་ཀྱི་ཆིངས་ཡིག་སོགས།,,,,,
SP01-OTR002-01-AB-0004.wav,སྟོད་ཆ།,,,,,
SP01-OTR002-01-AB-0005.wav,ཐོག་མར་ངོ་ཤེས་པའི་གླེ་མིའི་ན་གཞོན་དང་མཁས་པ་Goldsteinགཉིས་ཀས་ལོ་རབས་དྲུག་བཅུའི་ནང་རྒྱ་བལ་རྒྱལ་ཁབ་གཉིས་ཀྱིས་ས་མཚམས་ཀྱི་ཡིག་ཆར་ས་ཡིག་བཀོད་པ་གླེང་ཡོད།,,,,,
SP01-OTR002-01-AB-0006.wav,འདི་ནི་སྤྱི་ལོ་༡༩༥༩ལོའི་ལྷ་སའི་རང་དབང་སྒེར་ལངས་དང་།,,,,,
SP01-OTR002-01-AB-0007.wav,སྤྱི་ནོར་༧གོང་ས་སྐྱབས་མགོན་ཆེན་པོ་མཆོག་ནས་དབུས་པའི་བོད་མི་འབུམ་བརྒལ་བ་བཙན་བྱོལ་དུ་སྐྱོད་དགོས་བྱུང་བ།,,,,,
SP01-OTR002-01-AB-0008.wav,དེ་བཞིན་དེ་ལས་སྔ་བའི་སྤྱི་ལོ་༡༩༥༠ལོར་རྒྱ་ནག་གི་དམག་དཔུང་ལྷ་སར་དཔུང་འཇུག་བྱས་པ་དང་འབྲེལ་བ་ཡོད་པ་ཡིན་ནམ།,,,,,
SP01-OTR002-01-AB-0009.wav,འདི་རྣམས་དང་འབྲེལ་བ་ཡོད་དགོས་ཀྱི་རེད།,,,,,
SP01-OTR002-01-AB-0010.wav,ལོ་རབས་ལྔ་བཅུའི་ནང་གི་གལ་ཆེའི་འགྱུར་ལྡོག་འདིས་དོན་དངོས་ཐོག་ཧི་མ་ལ་ཡའི་རི་བརྒྱུད་ཀྱི་རྒྱལ་ཁབ་དང་ས་ཁུལ་ལ་དེ་དང་མཉམ་དུ་མུ་མཐུད་པའི་འགྱུར་བ་དང་།,,,,,
